year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1911,315,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,200536,,md point of GER FRA border,49,8.36,4
1912,316,"Tunis, Tunisia","Tunis, Tunisia",10.1815,36.8065,2,latlong.net,Near,,182541,Off the coast of Tunis,"Gulf of Tunis, Tunisia",37,10.5,2
1912,317,Bulgaria,Centroid of ADM0,25.2315,42.7614,6,ArcGIS and cShapes,State,Uses 1946 data,191211,,Bulgaria,42.6,25.31,5
1914,320,"Leuven, Belgium","Leuven, Belgium",4.70052,50.8798,1,latlong.net,Precise location text,,202690,,"Leuven, BEL",50.88,4.7,4
1916,321,Mexico-United States Border,Midpoint of shared (national) border,-105.809,31.2332,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,174389,US-MEX border,mid pt on border,31.2192,-105.938,4
1916,322,"Santo Domingo, Dominican Republic","Santo Domingo, Dominican Republic",-69.9312,18.4861,8,latlong.net,Capital,,155741,Dominican Republic,Santo Domingo,18.4667,-69.9,5
1916,323,Greece,Midpoint of coastline,23.1314,37.79,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,184007,,md point of GRE coast,36.63,23.17,4
1915,324,Greece (Crete [ADM1]),Centroid of ADM1,24.8447,35.2293,4,ArcGIS and GADM,ADM1,,180410,,"crete, GRE",35.31,25.02,3
1920,327,"Istanbul, Turkey","Istanbul, Turkey",28.9784,41.0082,1,latlong.net,Precise location text,,189058,.,Istanbul,41.02,28.96,1
1922,328,"Istanbul, Turkey","Istanbul, Turkey",28.9784,41.0082,1,latlong.net,Precise location text,,189058,.,Istanbul,41.02,28.96,1
1937,336,Algeria Territorial Waters,Centroid of territorial waters,3.21438,36.9211,3,ArcGIS and Marine Regions,Territorial waters,,182527,Off Coast of Algeria,Algiers,36.7631,3.05055,4
1938,337,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1940,339,Pacific Ocean,Pacific Ocean,-124.509,-8.78319,6,latlong.net,Ocean,,116751,Pacific Ocean,mid pt of ocean,1.84083,-157.767,5
1966,343,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,198625,Amur and Ussuri Rivers,"Amur River, Russia",52.9333,141.167,4
1967,345,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1968,346,Czechoslovakia-Russia Border,Midpoint of shared (national) border,22.3523,48.7316,5,ArcGIS and cShapes,Point along a line,,199845,,md point of USR-CZE border,48.78,22.56,4
1968,347,Sea of Japan,Sea of Japan,135,38.8488,5,latlong.net,Sea,,185671,Sea of Japan,Japan Sea,43.5,135.75,5
1969,349,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,198625,Amur and Ussuri Rivers,"Amur River, Russia",52.9333,141.167,4
1969,350,Peru Territorial Waters,Centroid of territorial waters,-78.7418,-9.0983,3,ArcGIS and Marine Regions,Territorial waters,,116123,Peruvian coastal waters,Lima,-12.05,-77.05,4
1969,352,"Rangoon, Burma","Rangoon, Burma",96.1951,16.8661,8,latlong.net,Capital,,153913,Burma,"Rangoon, Burma",16.7833,96.1667,5
1973,353,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1972,354,Iceland Territorial Waters,Point along territorial waters nearest North Sea,-12.8121,64.5558,5,"ArcGIS, latlong.net, and Marine Regions",Point along a line,,222815,North Sea-off of Iceland,"Hvalnes, Iceland",64.4,-14.55,4
1974,355,Paracel Islands,Paracel Islands,112.25,16.5,5,latlong.net,Island,,153225,Paracel Island,Paracel Islands,16.5,112.25,3
1975,356,Cambodia Territorial Waters,Centroid of territorial waters,102.786,10.4762,3,ArcGIS and Marine Regions,Territorial waters,,144566,Waters off Cambodia,Chhung O,12.6,106.517,4
1975,358,India (Tawang [ADM2]),Centroid of ADM2,91.9183,27.6557,3,ArcGIS and GADM,ADM2,,169744,NEFA Twang Tract,"tawang, india",27.6731,92.1647,3
1975,360,Belize-Guatemala Border,Midpoint of shared (national) border,-89.1656,16.6986,5,ArcGIS and cShapes,Point along a line,uses 1981 data.,153542,Belize-Guatemalan border,"Barranco, Belize",16,-88.9167,4
1976,361,Djibouti,Centroid of ADM0,42.5778,11.7497,6,ArcGIS and cShapes,State,Uses 1977 data; Protectorate name for Djibouti,146606,"Afars and Issas, Djibouti","Djibouti, Djibouti",11.595,43.1481,1
1976,362,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093,5,ArcGIS and cShapes,Point along a line,,184936,,PRK-KOR border,38.27,127.3,4
1976,363,Falkland Islands,Falkland Islands,-59.5236,-51.7963,3,latlong.net,Island,,54961,Falkland Islands,Falkland Islands,-51.75,-59,5
1974,364,China (Xinjiang [ADM1]),Centroid of ADM1,85.2036,41.112,4,ArcGIS and GADM,ADM1,,189171,Xinjiang Province,"Xinjiang, China",35.6128,111.218,3
1976,365,Japan (Hokkaido [ADM1]),Centroid of ADM1,142.552,43.3857,4,ArcGIS and GADM,ADM1,,192166,"Hokkaido, Japan Kurile Islands","Hokkaido, Japan",44,143,3
1821,366,France-Spain Border,Midpoint of shared (national) border,0.514845,42.6924,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,191162,Franco-Spanish border,"San Sebastien, Spain",43.6333,-7.8,4
1828,367,Egypt,Centroid of ADM0,29.872,26.4943,6,ArcGIS and cShapes,State,Uses 1946 data,167460,"Morea, Egypt",center pt of egypt,26.1758,30.1525,5
1832,368,Belgium-Germany Border,Midpoint of shared (national) border,6.22042,50.6376,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,202693,,md point of BEL-GER border,50.458,6.489,4
1830,370,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,200536,,md point of border between FRN & GER states,49.018,8.337,4
1842,371,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1846,373,United States (Oregon [ADM1]),Midpoint of coastline,-124.076,44.7716,5,ArcGIS and GADM,Point along a line,,193792,Pacific Ocean off Oregon,OR coastline,42.7858,-124.667,4
1848,374,"Rome, Italy","Rome, Italy",12.4964,41.9028,1,latlong.net,Precise location text,,189745,,rome,41.96,12.66,3
1848,375,Germany-Denmark Border,Midpoint of shared (national) border,8.98718,54.8973,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,208458,,GER-DEN border,54.926,9.272,4
1852,377,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482,3,latlong.net,Strait,,187613,"Dardanelles, Turkey",Dardanelles Strait,40.25,26.4167,4
1898,378,China (Illi Kazakh Autonomous Prefecture [ADM2]),Centroid of ADM2,82.0989,43.4509,3,ArcGIS and GADM,ADM2,,192045,Ili Valley,"Ili, Kazakhstan",45.4,74.1333,3
1898,379,"Kwangchow Wan, China","Kwangchow Wan, China",113.245,23.1448,1,latlong.net,Precise location text,,163307,Kuangchow,"Kwangchow Wan, China",21.1,110.467,1
1856,380,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043,4,latlong.net,Gulf,,165780,Gulf of Mexico,Center of Gulf,25,-90,5
1864,381,Germany (Schleswing-Holstein [ADM1]),Centroid of ADM1,9.81008,54.1829,4,ArcGIS and GADM,ADM1,,207740,Schleswing-Holstein,"Schleswing-Holstein, Germany",54,10.5,3
1898,391,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1914,394,"Tirana, Albania","Tirana, Albania",19.8187,41.3275,8,latlong.net,Capital,,189040,Albania,Tirana,41.3275,19.8189,5
1916,395,Portugal,Centroid of ADM0,-8.56274,39.601,6,ArcGIS and cShapes,State,Dual event; ADM1s not contiguous; Uses 1946 data,186823,"Lisbon, Oporto","Oporto, Portugal",41.15,-8.61667,1
1916,396,Hungary-Romania Border,Midpoint of shared (national) border,21.6287,46.9048,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,196964,Border,ROM border,47.0889,21.7694,4
1914,397,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,191206,,md point of BUL-YUG border,42.94,22.95,4
1915,398,North Sea,North Sea,3.51563,56.511,5,latlong.net,Sea,,211328,North Sea,North Sea,55.3333,3,5
1916,399,Between Atlantic Ocean and North Sea,Dividing Line,4,61.0283,6,MIDLOC1.1,Ocean,,217809,"Atlantic Ocean, North Sea]",line between AO & NS,61.0283,-4.23833,4
1917,400,Brazil,Midpoint of coastline,-37.9329,-4.30799,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,123405,Coast of Brazil,mid pt on brazilian coast,-10.3231,-36.3331,4
1931,407,"Wal Wal, Chad","Wal Wal, Chad",14.1,14.36,1,latlong.net,Precise location text,,150149,Walwal,"Wal Wal, Chad",14.3667,14.1,1
1937,409,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,198625,Amur river,"Amur River, Russ",52.9333,141.167,4
1938,410,Poland-Russia Border,Midpoint of shared (national) border,23.4462,52.5394,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,205607,Soviet/Polish border,"Brest, Byelorussia",52.1,23.7,4
1941,414,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,108303,Atlantic Ocean,mid pt of ocean,16.4142,-37.5764,5
1940,418,Albania-Greece Border,Midpoint of shared (national) border,20.5887,40.0717,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,187602,Greece-Albania border,"Leskovi Kolibi, Bulgaria",41.4,25.0667,4
1941,420,"Basra, Iraq","Basra, Iraq",47.7835,30.5081,2,latlong.net,Near,,173976,,"Basra, Iraq",30.49,47.82,2
1941,421,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,108303,Atlantic Ocean,mid pt of ocean,16.4142,-37.5764,5
1831,501,"Brussels, Belgium","Brussels, Belgium",4.35172,50.8503,8,latlong.net,Capital,,202689,Belgium,Brussels,50.8333,4.33333,5
1864,502,Germany-Hanover Border,Midpoint of shared (national) border,52.466,10.753,5,MIDLOC1.1,Point along a line,,145185,,md point of border between GER and HAN,52.466,10.753,4
1939,503,Latvia-Russia Border,Midpoint of shared (national) border,27.7032,56.9124,5,ArcGIS and cShapes,Point along a line,Uses 1991 data,211376,Soviet/Latvian border,"Ostrov, Rus",57.8325,34.995,4
1940,504,Lithuania-Russia Border,Midpoint of shared (national) border,23.8981,55.3357,6,ArcGIS and cShapes,State,Uses 1991 data,209208,Soviet/Lithuanian border,"Vilnius, Lithuania",54.6833,25.3167,4
1940,505,Estonia-Russia Border,Midpoint of shared (national) border,27.508,58.5314,5,ArcGIS and cShapes,Point along a line,Uses 1991 data,214256,Soviet/Estonian border,"Polna, Russia",58.4506,28.1564,4
1881,506,Vietnam,Centroid of ADM0,106.68,16.4667,6,ArcGIS and cShapes,State,Uses 1975 data,153214,"Tongking, Annam","Tongking, Vietnam",22,105,1
1882,507,"Hanoi, Vietnam","Hanoi, Vietnam",105.834,21.0278,2,latlong.net,Near,,160412,"Hanoi, Gulf of Tonkin","Hanoi, Vietnam",21.0333,105.85,2
1866,508,Adriatic Sea,Adriatic Sea,17.2903,41.8551,5,latlong.net,Sea,,189755,Adriatic Sea,Adriatic Sea,42,17.5,5
1866,509,"Strasbourg, France","Strasbourg, France",7.75211,48.5734,5,MIDLOC1.1 and latlong.net,Point along a line,,199816,Franco-Prussian border,"Strasbourg, France",48.5833,7.75,4
1920,510,"Vladivostok, Russia","Vladivostok, Russia",131.887,43.1198,1,latlong.net,Precise location text,,192144,Vladivostok,"Vladivostok, Russia",43.1333,131.9,1
1899,511,China (Zhejiang [ADM1]),Centroid of ADM1,120.089,29.1795,4,ArcGIS and GADM,ADM1,"Chekiang is a historic province, now appears to be contained in Zhejiang ADM1",171961,"Savman Bay, Chekiang Province","Chekiang Province, China",29,120,3
1941,518,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1917,521,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1918,522,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1941,523,"Tehran, Iran","Tehran, Iran",51.389,35.6892,8,latlong.net,Capital,,181183,Iran,Tehran,35.6719,51.4244,5
1972,602,Ecuador Exclusive Economic Zone,Midpoint of westernmost mainland EEZ,-84.3917,-0.875073,5,ArcGIS and Marine Regions,Point along a line,,128352,Pacific Ocean off Equador,Manta,-0.95,-80.7333,4
1946,603,"Tehran, Iran","Tehran, Iran",51.389,35.6892,8,latlong.net,Capital,,181183,,tehran,35.91,50.77,5
1949,604,Yemen (Aden [ADM1]),Centroid of ADM1,44.8088,12.8313,4,ArcGIS and GADM,ADM1,,148050,Aden protectorate,Aden directorate,12.8,45.0333,3
1956,605,Burma (Shan State [ADM1]),Centroid of ADM1,98.1269,21.722,4,ArcGIS and GADM,ADM1,,161117,"Wa State, Burma","kengtang, MY",21.4997,99.6531,3
1956,606,"Budapest, Hungary","Budapest, Hungary",19.0402,47.4979,8,latlong.net,Capital,,197679,Hungary,Budapest,47.5,19.0833,5
1957,607,Jordan-Syria Border,Midpoint of shared (national) border,37.2119,32.5325,5,ArcGIS and cShapes,Point along a line,,176835,,SYR-JOR border,32.38,37.33,4
1958,608,"Berlin, Germany","Berlin, Germany",13.405,52.52,1,latlong.net,Precise location text,,205587,.,berlin,52.52,13.38,1
1962,610,Saudi Arabia-North Yemen Border,Midpoint of shared (national) border,44.5422,17.3755,5,ArcGIS and cShapes,Point along a line,,154530,Yemen/Saudi Arabia border,"Najran, Saudi Arabia",17.5056,44.1842,4
1964,611,North Vietnam,Midpoint of coastline,104.094,19.2248,5,ArcGIS and cShapes,Point along a line,Uses 1953 data,157529,,md point of VIE coast,12.84,109.37,4
1921,612,"Batum, Georgia","Batum, Georgia",41.6367,41.6168,1,latlong.net,Precise location text,,189804,"Batum, Georgia","Batum, Georgia",41.6489,41.6483,1
1940,613,"Khemmarat, Thailand","Khemmarat, Thailand",105.149,15.9672,5,latlong.net,Point along a line,,152491,Thai Indochina boader,"Khemmarat, Thailand",16.05,105.217,4
1944,614,"Ankara, Turkey","Ankara, Turkey",32.8597,39.9334,8,latlong.net,Capital,,186906,Turkey,Ankara,39.935,32.8642,5
1935,616,"Beijing, China","Beijing, China",116.407,39.9042,8,latlong.net,Capital,,187073,China,"Beijing,",39.9289,116.388,5
1942,617,"Cairo, Egypt","Cairo, Egypt",31.2357,30.0444,1,latlong.net,Precise location text,,173223,"Cairo,Egypt",Cairo,30.05,31.25,1
1975,619,High Seas-North Sea near Iceland,Rockall Rise,-14,59,5,MIDLOC1.1,Sea,,214893,High Seas-North Sea near Iceland,Rockall Rise,59,-14,5
1939,620,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1943,621,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1943,622,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1964,623,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715,4,ArcGIS and GADM,ADM1,,169737,Sikkim,"Sikkim, India",27.75,88.5,3
1963,624,"Cayenne, French Guiana","Cayenne, French Guiana",-52.3135,4.92242,8,latlong.net,Capital,,136336,French Guyana,Cayenne,4.93333,-52.3333,5
1922,625,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1917,632,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136,8,latlong.net,Capital,,162916,Cuba,Havana,23.1319,-82.3642,5
1949,633,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,,taiwan straits,24.61,119.9,5
1949,634,"Beijing, China","Beijing, China",116.407,39.9042,1,latlong.net,Precise location text,,187073,Beijing,Beijing,39.9289,116.388,1
1963,1002,Dominican Republic Territorial Waters,Centroid of territorial waters,-70.0869,18.1209,3,ArcGIS and Marine Regions,Territorial waters,,155740,,md point of dom coast,18.67,-68.26,4
1950,1006,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683,1,latlong.net,Precise location text,,175391,Jerusalem,"Jerusalem, Israel",31.75,35,1
1957,1013,Gulf of Aqaba,Gulf of Aqaba,34.7299,28.6929,4,latlong.net,Gulf,,171070,Gulf of Aqaba,"Gulf of Aqaba, Saudia Arabia",29,34.6667,3
1965,1017,"Beirut, Lebanon","Beirut, Lebanon",35.5018,33.8938,8,latlong.net,Capital,,178272,Lebanon,Beirut,33.8719,35.5097,5
1962,1018,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683,1,latlong.net,Precise location text,,175391,Jerusalem,"Jerusalem, Israel",31.75,35,1
1963,1019,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683,1,latlong.net,Precise location text,,175391,Jerusalem,"Jerusalem, Israel",31.75,35,1
1960,1021,Indonesia (Papua [ADM1] and Irian Jaya Barat [ADM1]),Centroid of > ADM1,137.326,-4.03131,5,ArcGIS and GADM,> ADM1,,123755,West Irian,"Irian Jaya, Indonesia",-5,138,3
1951,1023,Indonesia (Papua [ADM1] and Irian Jaya Barat [ADM1]),Centroid of > ADM1,137.326,-4.03131,5,ArcGIS and GADM,> ADM1,,123755,West Irian,"Irian Jaya, Indonesia",5,138,3
1957,1024,Indonesia (Papua [ADM1] and Irian Jaya Barat [ADM1]),Centroid of > ADM1,137.326,-4.03131,5,ArcGIS and GADM,> ADM1,,123755,West Irian,"Irian Jaya, Indonesia",-5,138,3
1927,1025,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,96001,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1928,1026,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,96001,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1931,1027,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,96001,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1936,1028,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,96001,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1938,1029,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,96001,Chaco Boreal,"Chaco Boreal, Paraguay",-23,-60,3
1966,1035,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833,5,ArcGIS and cShapes,Point along a line,,176832,,ISR-SYR border,32.945,35.84,4
1970,1039,Jordan-Syria Border,Midpoint of shared (national) border,37.2913,32.576,5,ArcGIS and cShapes,Point along a line,,176835,,SYR-JOR border,32.38,37.33,4
1948,1042,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683,2,latlong.net,Near,Dual event,175391,Area of Hebron and Jerusalem,"Jerusalem, Israel",31.75,35,2
1973,1043,"Sinai, Egypt","Sinai, Egypt",34,29.5,5,latlong.net,> ADM1,,172509,Sinai peninsula,"Sinai, Egypt",29.5,34,3
1971,1046,Israel-Syria Border,Midpoint of shared (national) border,35.8546,33.0388,5,ArcGIS and cShapes,Point along a line,,177552,,ISR-SYR border,32.945,35.84,4
1968,1051,Israel-Lebanon Border,Midpoint of shared (national) border,35.5057,33.1118,5,ArcGIS and cShapes,Point along a line,,177552,Israel/Lebanon border,"Me'ona, Israel",33.0167,35.2667,4
1943,1058,"Bangkok, Thailand","Bangkok, Thailand",100.502,13.7563,8,latlong.net,Capital,,149602,Thailand,Bangkok,13.75,100.517,5
1974,1061,Israel-Lebanon Border,Midpoint of shared (national) border,35.5057,33.1118,5,ArcGIS and cShapes,Point along a line,,177552,,ISR-LEB border,32.93,35.519,4
1953,1062,"Trieste, Italy","Trieste, Italy",13.7768,45.6495,1,latlong.net,Precise location text,,195508,Trieste,"Trieste, Italy",45.6486,13.78,1
1908,1063,Curacao,Curacao,-68.99,12.1696,1,latlong.net,Precise location text,,147103,"Curacao, Venezuelan coast",Curacao,10.3808,-71.2986,1
1941,1066,Indian Ocean,Indian Ocean,81.8262,-33.1376,6,latlong.net,Ocean,,81884,Indian Ocean,Indian Ocean,-10,70,5
1967,1067,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683,2,latlong.net,Near,,175391,"Border area, Jerusalem","Jerusalem, Israel",31.75,35,2
1970,1068,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683,8,latlong.net,Capital,,175391,Israel,"Jerusalem, Israel",31.75,35,5
1968,1069,"Algiers, Algeria","Algiers, Algeria",3.05876,36.7538,1,latlong.net,Precise location text,,182527,Algiers,"Algiers, Algeria",36.7631,3.05055,1
1963,1070,Indonesia-Malaysia Border,Midpoint of shared (national) border,114.183,1.45234,5,ArcGIS and cShapes,Point along a line,,131629,,mid pt borneo border,1.45,114.47,4
1968,1072,Sabah,"Sabah, Iraq",43.3683,35.3125,1,MIDLOC1.1,Precise location text,,180447,Sabah,"Sabah, Iraq",35.3125,43.3683,1
1954,1073,India (Goa [ADM1]),Centroid of ADM1,74.0574,15.3597,4,ArcGIS and GADM,ADM1,,151709,Goa,"Goa, India",15.5833,74,1
1961,1074,India (Goa [ADM1]),Centroid of ADM1,74.0574,15.3597,4,ArcGIS and GADM,ADM1,,151709,Goa,"Goa, India",15.5833,74,1
1947,1077,"Junagadh, India","Junagadh, India",70.4579,21.5222,1,latlong.net,Precise location text,,161061,Junagadh,"Junagadh, India",21.5167,70.4667,1
1951,1079,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874,5,ArcGIS and GADM,Point along a line,,179789,Kashmir,Kashmir,34.5667,74.75,3
1971,1081,Jordan-Syria Border,Midpoint of shared (national) border,37.2913,32.576,5,ArcGIS and cShapes,Point along a line,,176835,Jordan-Syria border,"Imtan, Syria",32.4,36.8167,4
